code,nom,marque,programme_marketing,genre,technique,niveau_source,niveau,usage_cible,style_classique_cible,distance_competition_cible,tailles_dispo,size_136,size_143,size_153,size_163,size_168,size_173,size_174,size_178,size_180,size_181,size_183,size_186,size_187,size_188,size_190,size_192,size_193,size_197,size_202,size_207,glisse_max,accroche_classique,maniabilite,stabilite,tolerance,rigidite,nervosite,renvoi_dynamique,sensation_facile,sensation_dynamique,sensation_rigide,sensation_stable_haute_vitesse,sensation_polyvalent,neige_froide,neige_polyvalente,neige_humide,plaisir,confort,progression_technique,performance_chrono,podium_competition,notes
RIM3810,BC X 2,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,"360,370,380,390,400,410,420,430,440,450,460,470,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIM3820,BC 5 FW,Rossignol,A03 - FREE,Femmes,Classique,,Intermédiaire,Plaisir,,,"360,370,380,390,400,410,420,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIM3830,BC X 5,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,"360,370,380,390,400,410,420,430,440,450,460,470,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIM3840,BC 6 FW,Rossignol,A03 - FREE,Femmes,Classique,,Intermédiaire,Plaisir,,,"360,370,380,390,400,410,420,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIM3850,BC X 6,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,"360,370,380,390,400,410,420,430,440,450,460,470,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIM3890,BC X 10,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,"360,370,380,390,400,410,420,430,440,450,460,470,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMW900,X4 - CL,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO1010,X-11 SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"370,380,390,400,410,420,430,440,450,460,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO1020,X-11 CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"370,380,390,400,410,420,430,440,450,460,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO1030,X-9 SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
